name,date
"2016 Election - Election Administration with Denise Merrill, Secretary of State of Connecticut",11/4/2016
2016 Election - State of the Race - Liberal Perspective with Jefrey Pollock,11/7/2016
2016 Election - What to Expect Election Day with Christina Greer of Fordham University,11/7/2016
161108 Election Day Briefings at WFPC,11/8/2016
2016 Election Day - Foreign Policy Panel,11/8/2016
2016 Election Day - State of the Race- Conservative Perspective with John McLaughlin,11/8/2016
Air Force Briefing on Partnerships,11/29/2016
United Nations Impact Report 2016,12/15/2016
161221 NSC re PM Abe Visit,12/21/2016
Combating Anti-Muslim Discrimination,1/17/2017
NSC Ben Rhodes-Obama Foreign Policy Legacy,1/17/2017
What to Expect 2018,1/31/2017
A-A/S Thornton EAP Briefing,3/13/2017
Female Founders - Supporting Women Business Leaders,3/30/2017
Air Force Mobility Operations,4/4/2017
DVC: PRC Xi visit prebrief,4/5/2017
PRC Xi visit prebrief - A-A/S Thornton,4/5/2017
Tucson Economic Development and Job Creation,4/7/2017
Wikimedia Briefing,4/11/2017
Tribeca Film Festival Briefing,4/18/2017
DPRK Debrief with Thornton,4/28/2017
"Energy Port of the Americas: Economic Development, International Investment, and Cross-Border Cooperation in Corpus Christi ",5/2/2017
US Army Saber Guardian ,5/11/2017
DOD CAPT Davis,5/15/2017
Senior WH Official Brief on Upcoming POTUS travel,5/17/2017
Participatory Budgeting,5/26/2017
Preview of the U.S.-China Diplomatic and Security Dialogue,6/20/2017
Budget 101,6/27/2017
U.S. Leadership in Renewable Energy and Energy Efficiency Technologies,6/30/2017
DOD CAPT DAVIS Q4,7/26/2017
The Dodd-Frank Debate – Changes Coming for Banking Regulation?,8/2/2017
African Growth and Opportunity Act (AGOA) Joint Briefing ,8/3/2017
EAP DAS W. Patrick Murphy (post-ASEAN),8/11/2017
DOS Spokesperson Heather Nauert,8/16/2017
Nagorno-Karabakh and the Future of the Peace Process,8/23/2017
Briefing with Spokesperson Heather Nauert + 2017 Fall Reception,9/13/2017
Health Care 101,9/14/2017
CT Coordinator Sales - UNGA 72,9/18/2017
DOL Deputy U/S Martha Newton Child Labor ,9/20/2017
Airpower operations against ISIS and in Afghanistan ,9/22/2017
EAP A A/S Susan Thornton - UNGA 72,9/22/2017
Econ Dev in Orlando,9/27/2017
Freer Sackler,10/5/2017
Iran Policy Briefing,10/13/2017
U.S. Trade and Commerce in Savannah,10/17/2017
"101 Briefing - Understanding Maritime Law Issues in the South China Sea""",10/23/2017
NOAA JPSS-1 Satellite Launch,10/25/2017
Ambassador Wood,11/2/2017
Cybersecurity Trends and the Current Cyber Threat Landscape,11/15/2017
Spokesperson Heather Nauert,11/29/2017
NSC/NEA Briefing on Jerusalem,12/6/2017
AFRICOM Roundtable,12/8/2017
USAID Michelle Bekkering & 16 Days of Activism,12/8/2017
Combating Drug Demand and Opioid Crisis,12/13/2017
TWEIS Rollout,12/13/2017
NSS Rollout,12/18/2017
Protecting Working Families,1/18/2018
DOS Spokesperson Heather Nauert,1/25/2018
From Steel Town to Tech Hub: Pittsburgh's Story,1/26/2018
DOD - National Defense Rollout,1/29/2018
WHA PDAS Palmieri - Review of S trip to LatAm & Caribbean,2/9/2018
Wall Street: Federal Reserve Bank of NY,2/16/2018
INL-Readout of 61st CND,3/22/2018
Summit of the Americas preview-OAS Perm Rep Kevin Sullivan-on background,3/28/2018
CVE & Media Panel,3/29/2018
On-Background NSC Briefing-Expulsion of Russian Intelligence Officers,3/29/2018
Blockchain Technology Explained,4/12/2018
Volker Ukraine Briefing,4/13/2018
Tribeca Film Fest 2018,4/16/2018
Rollout of the 2017 Human Rights Report ,4/20/2018
JCPOA Announcement,5/9/2018
Beyond Silicon Valley: Sharing Ideas About Growing Entrepreneurship,5/11/2018
"AMB. HUTCHISON w. UK, Canada",5/23/2018
Ambassador-at-Large for Int'l Religious Freedom Samuel Brownback,5/29/2018
NOAA on Monsoon Forecasting in the Indian Ocean Region,6/5/2018
Midterm Elections 2018 - John Zogby,6/13/2018
SelectUSA Summit 2018 - Commerce U/S Kaplan,6/14/2018
Ukraine Reform Conference,6/26/2018
AGOA - HUB Call,7/9/2018
2018 Midterm Elections - 101 on Campaign Finance with Michael Malbin ,7/11/2018
FBI International Division,7/11/2018
Future of Cryptocurrency,7/24/2018
Human Trafficking: FBI Tools and Victim Assistance,8/9/2018
SCA PDAS Alice Wells - US Policy in the Indian Ocean Region,8/20/2018
2018 Midterm Elections - Doug Schwartz of Quinnipiac on Political Polling,8/29/2018
Bloomberg Economic Outlook,9/17/2018
UNGA PRM - Assistance to the Rakhine State Crisis,9/24/2018
Deputy Secretary Sullivan ASEAN Roundtable,9/27/2018
UNGA - D Cyber Roundtable,9/28/2018
UNGA - U.S. Call for Supporting Human Rights in Iran,9/28/2018
UNGA 73 - SCA Briefing with Wells,9/28/2018
2018 Midterm Elections - State of the Midterm Race with Meena Bose of Hofstra,10/1/2018
USNS Comfort Telephonic Briefing,10/9/2018
FEC Campaign Contributions Briefing,10/10/2018
Current and Future Face of US Air Forces SOF,10/17/2018
Ambassador Brownback on IRF Day and 2018 Ministerial,10/25/2018
Social Media in the Elections: The Changing Face of U.S. Politics,10/26/2018
Analyzing the Texas Senate Race,10/29/2018
2018 Midterm Elections - Women in Politics with Kelly Dittmar of Rutgers,11/1/2018
Midterm Elections: Redistricting w/ Prof. Lublin,11/1/2018
Iran Snap-Back Sanctions in effect ,11/5/2018
Election Day: Zogby,11/6/2018
Holiday Retail Trends with National Retail Federation,12/7/2018
Brian Hook Briefing on Iran,12/11/2018
Ambassador at Large for Int'l Religious Freedom Samuel Brownback,2/7/2019
RFJ: New Tools to Counter al-Qa’ida and Its Future Leadership ( DS &CT),2/28/2019
U.S. Policy in Venezuela,3/5/2019
2018 Human Rights Report Rollout,3/13/2019
NATO 70th FM Preview - Amb. Hutchison,4/2/2019
Rockefeller Foundation: AI and Development,4/2/2019
DAS David Meale and World Intellectual Property Day,4/19/2019
Rewards for Justice announcement with DS CT and Treasury,4/22/2019
Pacific Air Force Commander,4/29/2019
AS Fannon: Energy and National Security,5/2/2019
Spotlight on Baton Rouge: Economic Diversification and Strength ,5/15/2019
PM GPOI Briefing,5/28/2019
SelectUSA 2019 Investment Summit Preview,5/30/2019
"OAS and Ambassador Carlos Trujillo, U.S. Permanent Representative",6/10/2019
USNS Comfort Briefing (telephonic),6/13/2019
Brooklyn's Innovation Economy,8/8/2019
Brian Hook on Middle East Security,8/20/2019
Ambassador-at-Large for International Religious Freedom Sam Brownback,8/26/2019
U.S. Policy on 5G Technology,8/28/2019
SE Booth South Sudan Briefing,9/4/2019
Counter Narcotics Cooperation with China,9/9/2019
Special Envoy Elan Carr,9/11/2019
U.S. Air Force priorities in Europe and Africa,9/13/2019
Update on U.S. Policy in Venezuela,9/19/2019
2019 UNGA: Religious Freedom with AAS Brownback,9/23/2019
"2019 UNGA: Human Rights in Xinjiang w/EAP, DRL, NGO",9/24/2019
2019 UNGA: INL A/S Madison,9/24/2019
2019 UNGA: CT Coordinator Nathan Sales,9/25/2019
2019 UNGA: POTUS Press Conference (White House-led),9/25/2019
"2019 UNGA: Cuban Doctors w SPOX, WHA, and OAS",9/26/2019
2019 UNGA: EAP/SCA RT on Quad Consults (ON BACKROUND),9/26/2019
2019 UNGA: SR Brian Hook,9/26/2019
2019 UNGA: Amb Jeffrey,9/27/2019
2019 UNGA: SCA Policy Roundtable AAS Wells,9/27/2019
2019 UNGA: WHA Julie Chung,9/27/2019
DOJ: OPDAT Combatting crime in the Northern Triangle,10/4/2019
Amb Wood on UN First Committee Priorities,10/7/2019
Law of the Sea/South China Sea,10/8/2019
DRL DAS Carstens on Venezuela,10/11/2019
Economic Prosperity: Circular Economy,10/24/2019
IRF Day Ambassador-at-Large Brownback,10/25/2019
30 Years since the Fall of the Berlin Wall,11/6/2019
5G with Nick Eftiamides,11/15/2019
"Global Entrepreneurship Week - Jonathan Ortmans, GEN",11/20/2019
2020 Election - Monika McDermott of Fordham University on Polling and Campaigns,11/22/2019
How the U.S. is Addressing 5G and Security,11/26/2019
A A/S Kozak on WHA Priorities,12/6/2019
Joint Efforts on Border Security and Regional Partnerships Across Central America,12/10/2019
 U.S.-India 2+2 Dialogue Readout w/SCA DAS Vajda,12/19/2019
"Amplifying S Iran Speech - SR Hook, A/S Destro, Amb. Brownback",12/19/2019
EB - Cyber Successes: Highlights of 2019 and Look Ahead to 2020,1/10/2020
Pol-Mil Bureau A/S Cooper -- Highlights of 2019 and a Look Ahead to 2020,1/15/2020
Tips for Covering the 2020 Elections,1/16/2020
Elections 101: John Zogby - State of Play for 2020 Elections,1/23/2020
DAS Marc Knapper Discusses 60th Anniversary of U.S.-Japan Alliance,1/24/2020
WHA DAS Filipetti - U.S. & Int'l Support for Venezuela interim President Juan Guaido,1/24/2020
Elections 101: Iowa Caucuses - Teleconference,1/27/2020
The U.S. Vision for the Indo-Pacific Region,1/30/2020
Launch of the New U.S. International Development Finance Corporation,2/6/2020
Wall Street: JP Morgan,2/19/2020
Wall Street: Museum of American Finance,2/19/2020
Elections 101 - Robert Shapiro of Columbia University on Partisanship,2/21/2020
Elections: Tips for Access to State Election Officials and Polling Locations,2/25/2020
Wall Street: NY Federal Reserve,2/25/2020
U.S.-European Defense cooperation,2/26/2020
Elections 101 - Patrick J. Egan of NYU on Social Media and Voters,2/28/2020
50th Anniversary of the Nuclear Non-Proliferation Treaty,3/5/2020
Wall Street: BlackRock,3/5/2020
Campaign Finance in the 2020 Elections,3/10/2020
2019 Human Rights Report,3/11/2020
DHS Cuccinelli Briefing 2 -- all regions,3/23/2020
To Walk the Earth in Safety TWEIS Report rollout on de-mining,4/2/2020
Cybersecurity and COVID-19,4/8/2020
Samaritan's Purse and Mount Sinai Hospital’s Emergency Field Hospital,4/9/2020
"U.S. Designation of ""Russian Imperial Movement"" as terrorists",4/9/2020
COVID-19 and the Survivor Corps,4/14/2020
Preview of NATO Defense Ministerial on COVID-19   ,4/14/2020
Amb. Brownback Religious Freedom and COVID-19 ,4/15/2020
DHS & CBP response to addressing COVID-19 at the U.S. Southwest Border,4/16/2020
DHS & CBP Response to COVID-19 at Southwest Border,4/16/2020
How COVID-19 Historically Compares to Other Pandemics,4/16/2020
CDC RADM Knight on International Response to Covid-19,4/23/2020
UN North Korea Panel of Experts Report - WHA Media,4/23/2020
Lessons Learned from Ebola for Coronavirus Response,4/30/2020
Remdesivir as treatment for COVID-19 ,5/4/2020
NASA: Artemis Accords,5/15/2020
The Resilient City: Re-opening NYC and the Road to Recovery,5/15/2020
New York City’s COVID-19 Response and Economic Development,5/21/2020
Understanding America: Criminal Justice,5/22/2020
JP Morgan on Global Economic Outlook,5/26/2020
2019 IRF Report Rollout - Ambassador Brownback,6/10/2020
"Women, Peace & Security Plan Rollout - S/GWI & USAID",6/11/2020
Understanding America: The History of Labor in the U.S.,6/17/2020
Rewards for Justice: New ISIS Leader,6/24/2020
 Release of the 20th Annual Trafficking in Persons Report,6/25/2020
70th Anniversary of End of Korean War w/ EAP A/S David Stilwell,6/25/2020
Research Security with NSF & NIH,7/8/2020
Secretary Pompeo Telephone Briefing,7/9/2020
UN Ambassador Kelly Craft,7/9/2020
CMF Maritime Coalition Briefing,7/15/2020
Understanding America: ADA at 30 (one on one interview),7/16/2020
DAS Strayer on Progress in 5G,7/21/2020
Understanding America: Native American Rights,7/30/2020
Elections 2020: American Federalism,8/5/2020
Understanding America: 100 Years of Women’s Suffrage,8/6/2020
Elections 2020: Understanding the U.S. Political Party Conventions,8/12/2020
A/S Cooper - Security Cooperation (moved to 8/20),8/13/2020
Gauging Public Opinion: Polling in an Election Year,8/18/2020
Elections 2020: Role of the Vice President,8/19/2020
World Humanitarian Day 2020,8/19/2020
A/S Cooper - Security Cooperation ,8/20/2020
Elections 2020: Voter Psychology and How Public Health Concerns Affect Political Behavior,9/4/2020
Elections 2020: John Zogby - Major Themes Two Months to Election Day,9/10/2020
"Elections 2020: The Major Themes, Challenges and Demographics Two Months Before Election Day",9/10/2020
"Elections 2020: Political Advertising in the U.S. - Targets, Messages and Platforms",9/15/2020
How USAID is Responding to Global Food Insecurity,9/17/2020
Elections 2020: Demographics of the U.S. Electorate ,9/23/2020
Elections 2020: Role of the Debates,9/28/2020
Enhancing the Integrity of America's Research Enterprise,10/6/2020
Elections 2020: Election Security,10/8/2020
Elections 2020: Revisiting Campaign Finance ,10/12/2020
NASA Administrator Jim Bridenstine and Assoc Admin Mike Gold on the Artemis Accords,10/13/2020
Preview of the 50th Organization of American States General Assembly,10/16/2020
USCG Adm Shultz on Pacific Operations & IUU Fishing (EAP),10/20/2020
Elections 2020: The 4th Estate: How Journalists' Election Coverage Affects Voting Behavior,10/22/2020
Elections 2020: The Electoral College,10/23/2020
Preview of the U.S.-India 2+2 Ministerial w/ SCA & DoD officials ,10/23/2020
Elections 2020: The Youth Vote,10/26/2020
Elections 2020: Voting Rights,10/29/2020
Elections 2020: Voter Turnout,10/30/2020
Elections 2020: Election Day - What to Expect,11/2/2020
Hurricane Relief in Cent Am: WHA & USAID,12/10/2020
PM A/S Cooper on Security Cooperation,12/16/2020
Understanding America: The Legacy of MLK,1/11/2021
Elections 2020: Previewing the Presidential Inauguration (Lara Brown),1/12/2021
Elections 2020: Transitioning to a New Administration (Martha Kumar),1/19/2021
Wall Street Series: Stifel,1/27/2021
Racial Equity Series: Racial Inequality in the Justice System,2/3/2021
"Wall Street Series: Keefe, Bruyette, and Woods",2/3/2021
U.S. Foreign Policy in the Biden Administration with CFR,2/5/2021
Immigration Reform - New American Economy,2/8/2021
Resilience in the Time of COVD: The Hospitality and Tourism Sector,2/9/2021
Wall Street Series:  Bank of America,2/10/2021
Wall Street Series: NY Stock Exchange,2/11/2021
COVID-19 Response: U.S. Plan to Beat COVID-19 (Fauci/Slavitt),2/12/2021
Wall Street Series: Federal Reserve Bank of NY,2/18/2021
Racial Equity Series: Resiliency in Black Business Communities ,2/19/2021
Wall Street Series: JP Morgan Mike Hanson,2/23/2021
Resilience in the Time of COVD: The Real Estate Sector,2/24/2021
Wall Street Series: JP Morgan Luis Oganes,2/25/2021
Wall Street Series: Citi,3/3/2021
WHA Readout of S virtual trip to Canada & Mexico,3/3/2021
Understanding America: Advancing Gender Equity,3/4/2021
Resilience Series - National Retail Federation with Jack Kleinhenz,3/5/2021
CA Update on Immigrant Visas,3/9/2021
Wall Street Series: BlackRock,3/9/2021
Racial Equity Series: Representing the American Experience - Stanley Nelson and Peter Nicks,3/10/2021
Racial Equity Series: From Slavery to Stacey Abrams - The Year of the Black Woman,3/11/2021
EAP Readout of S Trip to Japan and Korea - DAS Knapper,3/18/2021
CANCELLED - Women's Leadership and Gender Equity in Sports,3/28/2021
"S,LTG briefing - Working Multilaterally to Address Collective Challenges",3/29/2021
Racial Equity Series: History and Role of HBCUs (with DSpox),3/31/2021
U.S. Bid for Swiss Air2030 New Fighter Acquisition,3/31/2021
White House Gender Policy Council,4/1/2021
COVID-19 Response: Renewing U.S. Global Health Leadership (CDC),4/2/2021
COVID-19 Response: Racial Disparities in Vaccine Hesitancy (NIH),4/9/2021
Special Envoy Kerry on Policy Priorities on Climate,4/19/2021
Racial Equity Series: From Civil Rights to Racial Justice,4/23/2021
Understanding America: The Future of Media Ethics,4/28/2021
World Press Freedom Day Roundtable w/ Sec Blinken,4/28/2021
California Climate Action Corp Briefing,5/6/2021
Understanding America: Asian-American History & Current Challenges,5/7/2021
2020 IRF Report 1 on 1s,5/12/2021
Arctic Issues Briefing,5/12/2021
Understanding America: The Federal Budget Process,5/25/2021
CANCELLED - COVID-19 Response: Global COVAX Vaccine Roll Out,5/26/2021
Update on the U.S.-India Relationship,5/28/2021
Workforce Development and Post-COVID Economic Recovery,6/9/2021
Climate Equity: Just Solutions for Environmental and Climate Crises,6/11/2021
Racial Equity Series: History and Meaning of Juneteenth,6/16/2021
Global Minimum Tax,6/22/2021
2021 TIP Report Briefing,7/1/2021
Gender Policy Council on Generation Equality Forum,7/2/2021
Racial Equity Series: Monuments & Memorials (Mellon Foundation),7/13/2021
"COVID-19 Response: Vaccines, Immunity, and Delta Variant",7/28/2021
Secretary Haaland on the Administration's Commitment to Indigenous Communities,8/5/2021
Climate Crisis: The Latest Science and U.S. Objectives for COP 26,8/9/2021
Seattle's Climate Resilience with Mayor Jenny Durkan,8/9/2021
CANCELLED - D EAP Roundtable,8/18/2021
CANCELLED - World Humanitarian Day Disaster Response Update,8/18/2021
RT on Afghanistan,8/25/2021
9/11 Memorial Museum,9/8/2021
"Port of Long Beach, CA",9/9/2021
Preview of Climate Week NYC ,9/15/2021
Readout of UNGA 76 High Level Week,9/24/2021
Clean Energy Innovation for Climate Resilience,9/29/2021
OECD Ministerial Council Virtual w/EB SBO Murray,10/1/2021
International Counter-Ransomware Initiative,10/15/2021
COVID-19 Response: New Global Travel Vaccine Requirements ,10/26/2021
CANCELLED - USAID Climate Strategy Preview & COP 26 Goals,10/27/2021
Understanding America: Native American Military Service,11/8/2021
COVID-19 Response: Readout of S COVID Ministerial w/ Gayle Smith,11/10/2021
Rebuilding Our Economy: Addressing Labor Shortages,11/15/2021
CANCELLED - U.S. Investment in Global Health Infrastructure,11/17/2021
CANCELLED - COVID-19 Response: U.S. Investment in Global Health Security (Emory),11/18/2021
Racial Equity Series: Icons of Voting Rights,12/1/2021
S4D Preview with SD Gonzalez,12/2/2021
Understanding America: Redistricting,12/2/2021
S4D SD Banks Brief 3Dec2021,12/3/2021
CANCELLED - COVID-19 Response: CDC Outlook - Omicron Variant,12/8/2021
"U/S for Economic Growth, Energy, and the Environment Jose Fernandez on the Secretary’s 2021 Award for Corporate Excellence",12/8/2021
Readout of 2021 Seoul Peacekeeping Ministerial,12/9/2021
Summit for Democracy: What Happened and What's Next,12/10/2021
National Retail Federation Holiday Retail Shopping Expectations,12/14/2021
Secretary Blinken Presser,1/3/2022
Russian Disinformation,1/20/2022
COVID-19 Response: Fact Checking: What Journalists Need to Know,1/21/2022
Limits in the Seas: China's Maritime Claims in South China Sea (EAP),1/24/2022
LTG - Russia’s Aggression Toward Ukraine: The Stakes for Global Peace & Security  ,1/24/2022
Election 2022: Understanding the American Voter,1/27/2022
Wall Street: Citi Research,1/28/2022
Rewards for Justice announcement: ISIS-K and Kabul Airport Attacks,2/7/2022
Wall Street Series: Blackrock,2/9/2022
Understanding America: U.S. Congress,2/15/2022
Wall Street: Interactive Brokers,2/15/2022
CANCELLED - Racial Equity Series: Advancing Health Equity (NIH),2/16/2022
U.S. Ambassador to Georgia Kelly Degnan,2/22/2022
Election 2022: Early Insights from Gallup,3/2/2022
EUR DAS Robinson Russian Media Roundtable,3/3/2022
EUR DAS Jones Media Roundtable on Russia/Ukraine,3/10/2022
Special Advisor on Int'l Disability Rights Sara Minkara,3/11/2022
Anticorruption VRT 2022: #1 Orientation Session,3/14/2022
Anticorruption VRT 2022: #2 Corruption 101 - Prof Matthew Stephenson,3/15/2022
Anticorruption VRT 2022: #3 NSC Chandana Ravindranath,3/16/2022
bl,3/16/2022
Election 2022: Fact Checking & Countering Misinformation,3/16/2022
Anticorruption VRT 2022: #4 INL PDAS Walsh & USAID Green,3/17/2022
U.S. Sanctions on Russia,3/18/2022
Anticorruption VRT 2022: #5 Treasury Lee & FBI Coleman,3/21/2022
Wall Street: Federal Reserve Bank of NY,3/21/2022
Anticorruption VRT 2022:  #6 Mid-program check-in,3/22/2022
Women’s History Month – Gender-Based Violence (GBV): Countering Female Genital Mutation/Cutting (FGM/C) ,3/22/2022
"Anticorruption VRT 2022:  #7 Holding Corrupt Actors Accountable, EB Joshua Mater and DOJ Mary Butler",3/23/2022
Anticorruption VRT 2022:  #8 Multilat & Foreign Assistance w/ INL Barry Fullerton & USAID Jennifer Lewis,3/25/2022
"Anticorruption VRT 2022:  #9 Investigating corruption with Kevin Hall, OCCRP",3/28/2022
Anticorruption VRT 2022:  #10 Anticorruption Champs Riad Kobaissi and Nikolay Staykov,3/30/2022
Anticorruption VRT 2022: #11 Program wrap-up and networking,4/1/2022
U.S. Fleet Commander on Indo Pacific Security Commitments,4/4/2022
"U/S Economic Growth, Energy, and the Environment, Jose Fernandez",4/4/2022
Wall Street: Stifel,4/6/2022
Food Security and Russia's Invasion of Ukraine,4/7/2022
Racial Equity in Health Briefing: Efforts to Expand Healthcare Access in the United States,4/8/2022
New U.S. Sanctions in Western Balkans,4/11/2022
EUR DAS Dunnigan on Russia and Ukraine,4/14/2022
RACIAL EQUITY SERIES: ADVANCING EQUITY THROUGH  FOREIGN POLICY (D-MR BRIEFING),4/14/2022
D/NSA Responsible State Behavior in Cyberspace (Neuberger),4/19/2022
Future of Semiconductors with Professor H.S. Philip Wong of Stanford,4/19/2022
Election 2022: Religious Beliefs & Political Participation,4/20/2022
IRF Ambassador-at-Large Rashad Hussain,4/25/2022
How the PRC Amplifies Russian Disinformation - Schafer/Repnikova,4/27/2022
Declaration on the Future of the Internet - Tim Wu & Ruth Berry,4/28/2022
EUR/NBA Roundtable with Norwegian Journalists,4/29/2022
Smithsonian's Cultural Heritage Rescue Work in Ukraine,4/29/2022
World Press Freedom Day Briefing w/ Secretary Blinken,5/3/2022
"Roundtable on U.S. China Policy - DAS Pak, DAS Waters, PDSPOX Porter",5/9/2022
EUR DAS Erika Olson Greek Media Roundtable,5/11/2022
Readout of the Second Global COVID-19 Summit,5/12/2022
Amb. LTG on Launch of the Days of Action on Global Food Security,5/16/2022
Election 2022: The Latino Vote,5/16/2022
City Spotlight: Chattanooga,5/23/2022
Readout of POTUS Trip to ROK and Japan with DAS Lambert,5/25/2022
How Teleworking is Changing the World w/ Professor Bloom,6/3/2022
EUR Assistant Secretary Donfried,6/8/2022
"City Spotlight: Kansas City, MO",6/9/2022
Protecting the Rights of Persons with Disabilities,6/13/2022
Amb for Global Criminal Justice Beth Van Schaack,6/15/2022
Inside the Supreme Court - Georgetown Law Prof. Bloch,6/21/2022
World Refugee Day Briefing,6/22/2022
"City Spotlight: Houston, TX",6/24/2022
EUR DAS Jones - Madrid Summit Key Outcomes,7/7/2022
U.S. Sanctions on Russia ,7/13/2022
Reenergizing U.S. Travel and Tourism,7/14/2022
Elections: Econ,7/15/2022
US elections 2022: Latino Voters,7/25/2022
10th Nonproliferation Treaty Review Conference,8/3/2022
Economic Impact of Sanctions on Russia,8/10/2022
Update on Visa Services - CA DAS Stufft,8/10/2022
Background Briefing on Russia's Attempt to Annex Parts of Ukraine,8/12/2022
Briefing on the Procurement of Ukrainian Wheat to Address Acute Food Insecurity with USAID Deputy Administrator Coleman and Ambassador O’Brien,8/19/2022
"Hybrid briefing with the State Department’s New Coordinator on Global Anti-Corruption, Richard Nephew",8/25/2022
Yale Report release on Kremlin filtration operations,8/26/2022
Cybersecurity VRT 2022:  #1 Overview of Cybersecurity and its Impact,8/29/2022
Cybercrime Treaty Negotiations,8/30/2022
Cybersecurity VRT 2022:  #2 Public-Private Partnership (PPP) Cooperation i,8/31/2022
Racial Justice and Equity in U.S. Foreign Policy,8/31/2022
Cybersecurity VRT 2022:  #3 U.S. Engagement in International Cyberspace Security Cooperation.,9/1/2022
Elections Briefing: Education as a Voter Priority,9/2/2022
Cybersecurity VRT 2022:  #4 DOJ The rise of cybercrime and cryptocurrency ,9/7/2022
Cybersecurity VRT 2022: #5 DHS CISA Briefing ,9/8/2022
Cybersecurity VRT 2022:  #6 DOD A look at the U.S. government’s security cooperation overseas ,9/9/2022
UN-brokered Black Sea deal and impacts to global food security  ,9/9/2022
Cybersecurity VRT 2022:  #7 A look at Google’s Threat Analysis Group (TAG),9/13/2022
NASA’s Role in Climate Science Research,9/13/2022
"Cybersecurity VRT 2022:  #8 Briefing with Nicole Perlroth on impacts of cybercrime and cybersecurity on society,",9/14/2022
Cybersecurity VRT 2022:  #9  A look at cybersecurity in the context of elections,9/15/2022
Russian Filtration Operations and the Human Cost in Ukraine ,9/15/2022
Yale Report on Russian attacks on Ukraine Food Supplies,9/16/2022
UNGA U.S. Response to Global Climate Change: Understanding the President’s Emergency Plan for Adaptation and Resilience,9/20/2022
UNGA Combatting Global Food Insecurity,9/21/2022
UNGA E Fernandez,9/21/2022
Advancing Gender Equality: UNGA 77 ,9/22/2022
GLOBAL HEALTH SECURITY BRIEFING/UNGA 77-,9/22/2022
UNGA EAP + NSC Partners in the Blue Pacific ,9/22/2022
UNGA OES Medina,9/22/2022
PIC Summit Readout with Senior Administration Official,9/29/2022
"Voting rights, civil rights, immigration: This term at the Supreme Court ",10/3/2022
ELECTIONS BRIEFING: QUINNIPIAC POLL,10/7/2022
ELECTIONS BRIEFING: VOTING RIGHTS,10/7/2022
Amb. Thomas-Greenfield on UNGA Emergency Special Session on Ukraine,10/11/2022
Miami Media Hub,10/12/2022
U.S. National Arctic Policy ,10/17/2022
EUR A/S Donfried on Annexation,10/18/2022
Virtual Briefing on Food Security USAID,10/19/2022
U.S. Midterm Elections 2022: Race and Voter Mobilization,10/20/2022
U.S. Midterm Elections 2022: Election Integrity,10/21/2022
U.S. Midterm Elections 2022: Battleground States (Zogby),10/26/2022
FPC Briefing with John Kirby,10/27/2022
City Spotlight: Semi-conductor industry in Ohio and Indiana,11/1/2022
Rewards for Justice: Disrupting financial mechanisms that support the Democratic People’s Republic of Korea (DPRK)     ,11/3/2022
Outcomes of the G7 Briefing with Director Solomon,11/10/2022
Impact of the Black Sea Grain Initiative with IFPRI,11/16/2022
Cyber Briefing: Anne Neuberger NSC,11/17/2022
NYFPC Virtual Briefing: Equity in HIV/AIDS Prevention and Treatment in New York City:  Public Health and Civil Society Collaboration,11/22/2022
Accountability for War Crimes and Other Atrocities in Ukraine,11/29/2022
World AIDS Day,12/1/2022
"Chief Economist on Russia’s long-run economic growth prospects, values-based trade, and building resilient supply chains ",12/2/2022
2023 Summit for Democracy,12/7/2022
DASD for AF Chidi Blyden on ALS,12/7/2022
Award for Corporate Excellence,12/8/2022
Anti-Corruption Awards 2022,12/9/2022
IOM DG Candidate,12/16/2022
Strategy on Global Women's Economic Security,1/4/2023
Latest Developments in U.S. Foreign Policy - Spox,1/6/2023
Fusion Ignition Breakthrough - Mark Herrmann LLNL,1/12/2023
"Hybrid Briefing with Deputy Spokesperson Vedant Patel and DCOS Tom Sullivan on 2023 Diplomatic Priorities (lead:Jed, back-up: Doris)",1/26/2023
"Hybrid INL, DOJ, and OFAC Rewards Briefing",2/8/2023
NSC Kirby on The Biden-Harris Foreign Policy Agenda,2/8/2023
DAS Olson on Earthquake Assistance to Türkiye,2/14/2023
Yale Report on Russia’s system to relocate & re-educate Ukraine’s children,2/14/2023
Foreign Assistance Efforts with F,2/15/2023
Amb. Thomas-Greenfield on Upholding Ukraine's Sovereignty in the Face of Russia's Aggression: A Year of Action at the UN,2/21/2023
APEC Launch with Matthew Murray,2/22/2023
EAP A/S Kritenbrink Briefing on Current Events,2/22/2023
Wall Street: BlackRock,2/22/2023
USAID: One Year Later: Helping Ukraine Win the War and Secure Peace,2/23/2023
Deputy Energy Secretary Turk,2/28/2023
Wall Street: Federal Reserve Bank of NY,2/28/2023
Understanding Xi Jinping’s Digital Strategy for China,3/1/2023
Wall Street: New York Stock Exchange,3/2/2023
AUKUS Briefing,3/15/2023
Funding for International Partnerships through the CHIPS Act,3/15/2023
Commerce CHIPS Announcement,3/21/2023
2023 Summit 4 Democracy,3/22/2023
PM AS Lewis,3/23/2023
U.S. Objectives at the United Nations Water Conference,3/23/2023
Transit of Taiwan President through the United States ,3/30/2023
T on Annual “To Walk the Earth in Safety” (TWEIS) Report,4/4/2023
Review of the Tenth EU-US Energy Council ,4/11/2023
Space Force,4/14/2023
NSC John Kirby:  Preview of President Yoon of ROK State Visit and News of the Day,4/24/2023
Preview of World Intellectual Property Day,4/25/2023
APEC May 2023,5/4/2023
